Image Path,Text on Page
C:\Users\valak\Desktop\thesis\images\page_25_image_1.png,"(a) (b) (c) (d) When examining photographic evidence it may be important to have knowledge of the type of camera, film, and lighting used when documenting different disease states. These four photos demonstrate different types of lighting causing variation in picture color. Figure (a) was taken in overcast sunlight, (b) with camera flash, (c) under fluorescent light, and (d) with a Tungsten filament regular light bulb. If your opinion is that a photographic image is not interpretable, it is perfectly acceptable to say that you cannot render an opinion based on this two-dimensional image."
C:\Users\valak\Desktop\thesis\images\page_25_image_2.png,"(a) (b) (c) (d) When examining photographic evidence it may be important to have knowledge of the type of camera, film, and lighting used when documenting different disease states. These four photos demonstrate different types of lighting causing variation in picture color. Figure (a) was taken in overcast sunlight, (b) with camera flash, (c) under fluorescent light, and (d) with a Tungsten filament regular light bulb. If your opinion is that a photographic image is not interpretable, it is perfectly acceptable to say that you cannot render an opinion based on this two-dimensional image."
C:\Users\valak\Desktop\thesis\images\page_25_image_3.png,"(a) (b) (c) (d) When examining photographic evidence it may be important to have knowledge of the type of camera, film, and lighting used when documenting different disease states. These four photos demonstrate different types of lighting causing variation in picture color. Figure (a) was taken in overcast sunlight, (b) with camera flash, (c) under fluorescent light, and (d) with a Tungsten filament regular light bulb. If your opinion is that a photographic image is not interpretable, it is perfectly acceptable to say that you cannot render an opinion based on this two-dimensional image."
C:\Users\valak\Desktop\thesis\images\page_25_image_4.png,"(a) (b) (c) (d) When examining photographic evidence it may be important to have knowledge of the type of camera, film, and lighting used when documenting different disease states. These four photos demonstrate different types of lighting causing variation in picture color. Figure (a) was taken in overcast sunlight, (b) with camera flash, (c) under fluorescent light, and (d) with a Tungsten filament regular light bulb. If your opinion is that a photographic image is not interpretable, it is perfectly acceptable to say that you cannot render an opinion based on this two-dimensional image."
C:\Users\valak\Desktop\thesis\images\page_26_image_1.png,Normal fresh heart. Sections of a normal fresh heart showing right and left ventricle. Sections of normal right and left ventricle after formaldehyde fixation. (a) (b) Normal fresh left lung (a) demonstrating two lobes. Right lungs (b) have three lobes. Normal lung fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_26_image_2.png,Normal fresh heart. Sections of a normal fresh heart showing right and left ventricle. Sections of normal right and left ventricle after formaldehyde fixation. (a) (b) Normal fresh left lung (a) demonstrating two lobes. Right lungs (b) have three lobes. Normal lung fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_26_image_3.png,Normal fresh heart. Sections of a normal fresh heart showing right and left ventricle. Sections of normal right and left ventricle after formaldehyde fixation. (a) (b) Normal fresh left lung (a) demonstrating two lobes. Right lungs (b) have three lobes. Normal lung fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_26_image_4.png,Normal fresh heart. Sections of a normal fresh heart showing right and left ventricle. Sections of normal right and left ventricle after formaldehyde fixation. (a) (b) Normal fresh left lung (a) demonstrating two lobes. Right lungs (b) have three lobes. Normal lung fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_26_image_5.png,Normal fresh heart. Sections of a normal fresh heart showing right and left ventricle. Sections of normal right and left ventricle after formaldehyde fixation. (a) (b) Normal fresh left lung (a) demonstrating two lobes. Right lungs (b) have three lobes. Normal lung fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_26_image_6.png,Normal fresh heart. Sections of a normal fresh heart showing right and left ventricle. Sections of normal right and left ventricle after formaldehyde fixation. (a) (b) Normal fresh left lung (a) demonstrating two lobes. Right lungs (b) have three lobes. Normal lung fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_27_image_1.png,Normal fresh kidneys. Non-fixed fresh kidneys. Note the pale discoloration resulting from fatal blood loss prior to death due to a gunshot wound. Normal kidney fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_27_image_2.png,Normal fresh kidneys. Non-fixed fresh kidneys. Note the pale discoloration resulting from fatal blood loss prior to death due to a gunshot wound. Normal kidney fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_27_image_3.png,Normal fresh kidneys. Non-fixed fresh kidneys. Note the pale discoloration resulting from fatal blood loss prior to death due to a gunshot wound. Normal kidney fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_27_image_4.png,Normal fresh kidneys. Non-fixed fresh kidneys. Note the pale discoloration resulting from fatal blood loss prior to death due to a gunshot wound. Normal kidney fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_28_image_1.png,Normal liver fixed in formaldehyde. Normal fresh liver. Normal fresh spleen. Normal spleen fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_28_image_2.png,Normal liver fixed in formaldehyde. Normal fresh liver. Normal fresh spleen. Normal spleen fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_28_image_3.png,Normal liver fixed in formaldehyde. Normal fresh liver. Normal fresh spleen. Normal spleen fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_28_image_4.png,Normal liver fixed in formaldehyde. Normal fresh liver. Normal fresh spleen. Normal spleen fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_28_image_5.png,Normal liver fixed in formaldehyde. Normal fresh liver. Normal fresh spleen. Normal spleen fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_28_image_6.png,Normal liver fixed in formaldehyde. Normal fresh liver. Normal fresh spleen. Normal spleen fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_29_image_1.png,Normal fresh adrenal gland intact (a) and sectioned (b). Normal adrenal gland section fixed in formaldehyde. Normal fresh thyroid gland. Normal thyroid fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_29_image_2.png,Normal fresh adrenal gland intact (a) and sectioned (b). Normal adrenal gland section fixed in formaldehyde. Normal fresh thyroid gland. Normal thyroid fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_29_image_3.png,Normal fresh adrenal gland intact (a) and sectioned (b). Normal adrenal gland section fixed in formaldehyde. Normal fresh thyroid gland. Normal thyroid fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_29_image_4.png,Normal fresh adrenal gland intact (a) and sectioned (b). Normal adrenal gland section fixed in formaldehyde. Normal fresh thyroid gland. Normal thyroid fixed in formaldehyde.
C:\Users\valak\Desktop\thesis\images\page_29_image_5.png,Normal fresh adrenal gland intact (a) and sectioned (b). Normal adrenal gland section fixed in formaldehyde. Normal fresh thyroid gland. Normal thyroid fixed in formaldehyde.
